traveltime,studytime,failures,famrel,freetime,goout,health,FirstPeriodGrade,SecondPeriodGrade,FinalGrade
1,4,0,5,1,2,3,10,10,10
1,3,0,5,3,3,5,13,14,14
4,4,0,1,3,5,1,12,10,11
1,3,0,5,4,5,4,15,15,14
1,1,0,5,5,3,4,13,14,14
1,3,0,4,1,2,2,11,11,11
1,2,1,3,1,2,5,8,10,10
1,1,0,3,5,2,3,18,17,18
1,2,0,5,4,2,5,10,9,10
1,2,0,5,4,4,5,16,14,14
2,2,0,4,4,3,2,16,15,16
2,1,0,5,4,2,5,14,14,15
3,2,1,5,2,4,5,12,11,11
1,1,0,3,4,3,4,14,13,14
1,2,0,3,2,3,1,14,14,14
1,4,0,5,5,4,5,14,13,13
2,2,0,4,2,2,5,14,12,13
1,1,0,3,4,4,5,12,13,13
1,2,0,5,4,4,5,12,11,11
1,1,0,5,5,5,5,9,9,9
1,2,0,5,3,2,1,10,11,11
1,2,2,3,4,2,5,9,10,11
1,1,0,3,5,5,4,14,14,15
2,3,0,3,2,3,1,13,12,13
2,3,0,4,2,2,5,10,11,12
1,2,3,5,4,5,5,10,9,8
3,1,0,3,2,2,5,11,10,11
3,1,0,4,3,3,4,11,12,13
1,1,0,3,4,4,5,13,12,12
1,1,0,3,2,1,5,15,13,14
4,1,0,3,2,1,2,9,9,11
1,1,1,5,3,4,5,13,11,11
4,2,0,5,3,3,5,12,11,11
1,3,0,4,3,3,5,13,14,15
3,2,0,5,4,5,5,10,9,10
4,2,0,5,1,3,3,14,13,13
2,1,0,3,3,4,4,11,11,12
1,3,0,4,3,3,5,12,11,11
2,1,0,3,3,3,1,12,11,11
2,1,0,4,3,2,5,9,9,10
1,2,2,4,4,4,5,10,10,10
2,1,0,4,3,2,5,13,14,14
3,1,1,5,5,5,1,8,9,9
2,4,0,2,2,2,3,9,11,11
1,2,0,1,3,2,1,9,8,9
1,3,0,5,3,3,5,15,13,13
2,1,0,2,3,3,2,12,11,11
1,3,0,4,2,2,5,13,13,13
1,1,0,3,4,4,1,10,11,11
1,1,0,5,4,5,5,9,7,6
1,2,0,4,4,2,5,12,12,12
2,1,0,4,4,2,5,11,10,10
1,2,1,3,3,2,3,11,11,11
1,2,0,4,3,2,5,13,12,13
1,2,0,2,3,4,1,11,11,11
1,1,0,3,3,2,5,9,9,8
4,1,0,4,5,5,5,12,11,11
1,1,2,2,3,5,4,11,9,0
1,1,1,4,4,4,5,9,10,10
2,3,0,4,2,1,3,13,13,13
1,1,0,4,5,4,4,11,9,11
1,1,0,4,2,1,4,13,13,13
1,2,0,4,4,4,1,7,8,8
1,1,3,2,2,2,5,9,8,10
3,1,3,5,2,5,4,11,10,11
3,1,0,4,2,2,3,12,10,11
1,2,1,4,5,5,5,10,10,1
2,1,2,4,4,5,5,9,8,10
2,1,1,3,3,2,5,8,8,9
2,2,2,4,4,4,3,7,6,8
2,1,0,4,4,4,5,8,9,10
1,1,1,5,3,3,2,9,8,8
4,2,0,5,3,5,5,8,8,8
2,1,3,4,5,2,2,8,7,8
1,2,0,4,3,5,4,9,10,11
1,2,0,4,2,3,3,17,17,18
1,2,0,5,1,5,4,12,12,13
1,2,0,4,4,2,3,16,16,17
3,1,1,3,4,5,2,9,9,10
2,2,0,4,3,2,3,16,17,18
1,2,0,4,4,4,5,11,9,10
1,2,0,4,3,5,3,14,13,13
2,2,0,4,4,5,4,14,14,15
2,2,0,4,4,4,4,10,11,11
2,2,0,3,4,4,5,13,12,14
1,2,0,4,3,4,4,11,9,10
1,1,0,4,3,3,3,10,9,11
1,2,0,5,2,3,2,11,11,13
1,2,0,3,4,3,3,11,10,11
1,2,0,4,2,3,3,11,12,13
1,2,0,5,4,2,5,17,18,17
1,2,0,5,3,3,1,14,13,14
1,2,0,1,2,2,1,14,15,16
1,2,0,4,3,4,4,11,13,14
1,1,0,3,3,3,3,10,9,11
1,2,0,4,2,3,5,13,14,16
1,2,0,3,3,3,3,12,13,14
1,2,0,3,1,3,3,9,9,10
1,2,0,4,3,3,2,12,12,13
1,2,0,5,3,3,3,12,11,12
2,2,0,4,4,4,5,10,11,12
1,1,0,4,3,2,5,11,10,10
2,1,0,5,3,3,3,13,12,12
1,2,0,4,3,2,5,14,15,16
1,1,0,5,2,3,5,13,13,14
3,1,0,3,3,4,3,10,11,12
2,1,1,4,2,4,2,14,15,16
1,2,0,4,5,2,3,11,10,11
1,2,0,4,3,5,2,14,14,15
1,2,0,4,4,3,4,11,12,12
1,2,0,4,4,4,1,14,15,15
1,1,0,5,3,2,3,13,13,13
2,4,0,5,3,5,5,13,13,13
1,3,1,4,4,3,5,8,9,8
1,2,0,2,3,3,4,11,11,12
1,2,0,1,3,2,1,14,15,15
2,1,0,4,3,2,5,12,13,13
2,3,0,4,4,2,4,11,12,12
1,4,0,4,3,3,3,12,12,12
1,2,0,5,3,5,3,13,12,12
1,2,0,3,3,4,4,13,13,13
1,2,0,4,4,4,5,12,11,11
1,1,0,5,2,1,3,12,11,11
2,2,0,4,4,4,1,14,16,15
1,2,0,3,4,5,1,11,9,10
1,2,0,3,2,4,4,10,10,10
2,1,0,3,3,3,3,12,13,13
1,3,0,4,3,3,4,12,12,13
2,2,0,4,2,5,5,11,10,11
1,3,0,4,3,4,5,12,12,12
1,2,0,2,3,1,3,13,13,14
2,2,3,3,3,3,4,10,9,10
1,3,0,5,3,2,5,15,16,16
1,2,0,5,3,3,4,8,8,8
1,2,0,5,3,4,3,17,18,17
1,2,0,5,3,3,3,10,11,11
4,2,0,4,3,2,3,9,10,11
2,3,0,3,2,3,3,15,15,16
1,2,0,3,2,3,3,14,12,12
2,2,0,4,5,2,1,12,13,13
1,2,0,4,5,5,2,13,13,13
1,2,0,4,2,4,1,13,13,14
2,2,0,3,4,2,5,9,9,9
2,3,0,5,3,3,2,12,12,12
1,2,0,4,4,2,4,16,16,16
1,1,0,4,5,2,5,9,10,10
1,2,0,5,3,3,5,14,13,13
2,2,1,4,3,3,3,10,10,10
1,2,1,5,3,1,5,9,8,10
2,1,1,4,1,1,3,8,7,7
1,1,1,4,4,3,1,7,8,8
1,1,0,4,2,1,5,10,8,9
1,2,0,5,4,2,3,14,14,15
1,3,0,4,3,2,4,11,10,10
1,1,0,5,3,5,5,12,11,11
3,2,0,2,1,1,3,13,13,13
4,1,1,5,5,4,5,9,9,8
1,2,0,5,5,4,2,8,7,8
1,1,1,3,1,2,1,11,9,10
2,3,0,4,3,3,5,15,14,15
1,2,0,4,3,2,4,15,14,14
2,2,0,2,5,5,5,15,15,15
2,2,0,3,3,3,4,12,12,12
1,1,0,5,4,5,3,14,14,15
1,1,0,5,3,2,5,14,15,15
1,2,0,5,3,1,5,11,11,12
2,3,0,4,3,3,1,13,14,15
2,3,0,4,2,2,5,11,11,11
1,2,0,4,3,2,4,10,9,10
2,3,0,4,4,4,3,12,10,11
3,1,0,4,3,3,4,15,16,16
1,2,0,4,3,4,5,11,10,11
2,1,0,5,2,2,2,9,12,13
1,1,3,5,4,5,1,7,8,5
1,2,0,4,3,3,5,10,9,10
1,1,0,4,3,2,5,11,12,11
2,1,0,4,4,5,5,7,8,7
3,2,1,5,3,3,2,9,11,10
1,1,2,3,2,5,5,7,8,6
2,1,0,3,3,2,3,14,13,12
1,1,0,4,4,2,5,12,12,13
2,1,1,4,4,4,5,9,10,10
1,2,0,4,3,4,5,12,12,13
1,4,0,4,2,3,4,14,15,17
1,2,0,4,3,3,5,10,10,11
3,2,1,4,4,5,5,11,10,11
1,3,0,4,3,4,5,11,12,14
1,3,0,4,4,3,3,11,12,14
1,2,0,3,2,3,5,11,11,13
1,2,0,4,3,1,1,11,13,14
1,2,0,5,2,4,4,16,16,16
2,1,0,5,2,2,4,9,10,10
1,4,0,3,4,1,2,10,11,12
2,2,0,1,2,3,2,10,12,12
1,2,0,3,1,2,2,15,15,15
1,2,0,4,3,2,3,10,10,11
1,3,0,5,3,2,3,10,11,12
1,3,0,3,2,3,4,15,12,13
1,3,0,4,3,3,3,11,12,13
2,1,0,4,4,4,4,8,8,9
2,2,0,4,2,5,1,15,16,16
1,2,0,5,4,4,5,11,11,14
2,2,0,4,3,4,4,10,11,12
1,2,0,5,4,5,5,10,12,14
2,2,0,4,3,5,3,8,9,10
1,2,0,4,3,5,5,11,12,12
1,4,0,4,5,5,2,16,16,16
2,2,0,4,4,3,3,13,13,13
1,2,0,3,5,2,1,16,17,18
1,2,0,4,2,5,1,14,14,15
2,2,0,4,3,3,1,15,16,16
2,2,0,4,4,4,5,12,12,12
2,2,0,4,1,1,5,12,9,10
2,1,0,3,2,4,3,11,12,12
1,2,1,2,4,4,4,14,12,13
3,3,0,4,2,3,1,13,15,15
1,2,1,3,3,3,3,9,8,10
2,1,0,4,2,3,1,10,10,10
2,1,0,3,4,4,4,10,10,11
2,1,0,4,5,4,5,11,11,10
1,1,0,4,4,4,3,13,13,13
2,4,0,5,2,2,3,17,17,18
2,2,0,5,4,4,4,12,13,13
1,2,0,5,4,5,5,12,12,14
2,2,0,4,3,1,5,12,13,14
1,2,0,4,3,3,4,12,12,12
1,3,0,4,3,3,2,18,18,18
1,3,0,4,3,3,3,13,13,14
1,3,0,4,2,4,2,14,15,15
1,2,0,5,4,3,2,17,17,17
1,2,0,4,3,2,5,15,16,16
1,3,0,4,2,2,3,17,18,18
2,4,0,3,1,2,3,18,19,19
2,3,0,5,4,2,4,14,15,15
1,1,0,4,4,3,5,14,15,15
2,2,0,2,3,4,2,14,13,13
2,2,0,4,4,5,2,13,14,14
1,4,0,4,3,3,3,16,17,17
1,1,0,1,4,2,1,18,18,17
1,2,0,4,2,4,4,14,15,15
2,1,0,4,1,1,5,12,13,13
2,3,0,5,3,4,5,7,7,8
2,3,0,4,3,3,3,16,16,16
1,4,0,5,2,2,5,18,18,18
2,3,1,4,3,1,5,9,10,11
1,1,2,5,5,3,5,14,15,15
1,2,0,4,5,3,5,10,10,11
1,2,0,3,4,4,5,10,10,11
2,2,0,5,3,3,1,12,12,15
2,2,0,4,2,1,3,11,12,14
1,1,0,4,4,4,5,15,16,17
1,3,0,4,3,4,5,14,15,17
2,1,0,3,2,4,1,12,12,15
1,3,0,4,3,4,5,15,15,17
1,2,0,4,1,4,3,11,12,14
2,2,0,5,4,4,1,11,10,10
1,2,0,4,4,4,5,12,11,13
1,1,0,5,4,4,1,11,12,14
1,1,0,5,3,4,5,14,15,17
1,2,0,5,2,2,5,15,14,17
1,2,0,5,3,3,5,12,12,13
1,2,0,4,2,3,2,11,12,14
1,1,0,4,2,5,5,8,9,11
3,3,0,1,5,5,5,10,10,11
3,2,2,5,3,4,4,8,8,9
1,1,0,4,3,5,5,10,10,10
1,2,0,4,2,2,3,14,13,13
1,3,0,3,3,2,3,11,11,10
1,3,0,3,4,3,5,17,18,17
2,3,0,3,3,3,2,14,14,15
2,3,0,4,5,5,2,14,14,14
1,3,0,4,3,3,3,13,14,13
1,1,0,4,3,5,5,17,18,17
4,1,0,4,4,5,4,11,10,10
1,3,0,5,4,4,4,13,12,13
2,3,0,4,3,3,4,15,14,15
1,1,0,4,2,5,5,11,12,11
1,4,0,4,5,5,5,11,11,12
1,1,0,5,3,4,5,11,10,10
4,2,0,4,2,5,2,10,9,10
1,3,0,4,4,3,5,15,15,15
1,1,0,5,4,2,5,15,14,15
1,2,0,5,3,4,4,10,11,12
1,2,0,4,3,3,2,10,9,12
2,4,0,4,4,4,4,14,13,14
1,3,0,4,4,5,5,11,13,14
1,2,0,4,3,2,2,12,13,15
1,4,0,5,3,3,1,14,14,15
1,2,0,4,3,3,2,14,14,16
1,2,0,4,3,3,2,12,12,13
1,2,0,4,3,3,5,16,16,17
1,2,0,3,3,1,4,10,12,14
1,3,0,4,3,3,3,11,12,14
1,3,0,5,4,3,1,14,16,17
1,3,0,5,3,2,4,15,14,17
1,3,0,5,4,5,5,14,13,14
1,3,0,4,4,3,4,11,12,13
2,2,0,4,3,4,1,12,15,15
1,2,0,4,3,5,4,12,16,16
2,1,1,2,2,3,5,10,11,11
1,1,1,4,1,2,3,10,13,13
1,3,2,3,3,2,5,9,12,12
1,2,0,4,4,4,3,9,11,12
1,2,0,4,3,5,2,13,14,15
1,2,0,4,3,4,4,13,17,17
1,3,0,4,4,2,4,12,15,15
1,2,0,4,2,2,3,14,17,17
2,2,2,5,3,3,4,9,10,10
2,3,0,3,2,2,3,11,15,15
1,1,1,3,2,5,5,9,10,11
1,2,0,4,4,4,5,16,18,18
1,3,0,4,3,4,2,14,17,17
1,1,0,3,1,3,4,13,14,14
1,1,0,5,3,4,4,7,11,11
2,2,0,4,1,4,4,14,17,17
2,1,1,5,3,1,5,8,10,10
1,2,0,3,1,2,1,10,13,13
2,1,0,4,3,3,5,10,11,11
2,2,0,4,4,4,5,12,12,12
1,1,1,4,1,3,2,10,10,10
2,1,0,5,4,4,5,10,10,11
2,2,0,4,5,2,5,16,17,17
2,1,0,1,3,4,1,6,8,9
1,2,0,5,3,2,2,10,11,11
1,3,0,4,4,3,5,10,11,11
1,2,1,4,5,4,5,10,10,10
1,1,1,5,4,4,5,6,6,7
2,1,0,1,5,1,5,13,14,14
2,4,0,1,2,1,1,10,9,11
2,2,0,5,4,3,4,10,10,10
2,1,1,4,4,3,2,6,7,8
2,1,0,3,2,3,2,12,11,12
2,1,0,5,5,5,3,10,11,12
2,1,0,4,1,3,4,14,16,16
2,2,0,5,4,5,3,7,0,0
1,2,0,4,4,3,5,8,9,9
1,2,0,5,3,4,2,12,13,14
1,2,0,5,3,4,2,7,9,8
3,2,0,3,4,5,5,9,10,11
4,2,0,5,4,5,4,7,9,9
1,2,0,5,3,3,5,11,11,11
3,1,0,5,5,5,3,8,10,9
2,3,0,4,2,2,4,16,16,17
2,1,0,5,1,2,1,11,13,13
3,2,0,4,5,4,1,15,15,15
2,2,0,4,3,3,5,10,11,11
3,2,0,4,4,5,4,9,10,11
1,3,1,1,3,2,4,10,8,8
1,3,1,1,3,2,4,9,8,8
1,2,0,4,4,2,2,9,10,9
1,2,0,5,4,3,2,13,14,15
1,1,0,5,5,5,3,10,11,11
4,4,0,4,3,2,1,13,10,13
4,3,0,4,4,3,5,10,9,10
2,2,0,4,3,3,2,11,10,11
2,1,0,4,2,2,2,13,12,14
3,2,0,4,2,1,2,13,14,14
1,3,0,4,4,3,5,14,11,12
2,1,0,3,4,4,5,11,11,11
1,2,1,3,4,4,5,9,8,8
2,1,0,3,2,3,4,10,9,11
3,2,0,5,3,4,2,14,13,14
3,1,0,4,3,3,4,13,12,13
1,2,0,4,3,1,3,13,12,13
1,2,0,4,5,4,1,13,12,12
2,2,1,4,4,4,5,12,11,12
3,1,0,4,3,2,4,14,14,16
2,1,0,2,4,3,4,10,8,10
3,1,0,4,2,4,3,10,11,11
2,3,0,5,3,2,4,12,13,14
1,1,0,5,4,3,5,10,8,8
2,1,0,4,3,3,3,12,10,11
2,2,3,3,4,3,1,7,7,8
1,1,0,4,5,3,5,9,9,10
1,1,1,4,4,4,2,9,9,10
3,1,0,5,5,3,3,9,10,11
2,1,0,5,2,1,4,9,10,9
3,2,0,3,4,5,1,9,10,11
1,1,0,4,3,4,1,7,7,8
2,2,0,4,3,5,4,11,10,11
1,1,1,4,4,3,3,9,10,10
2,3,2,3,3,2,2,7,9,10
1,3,1,5,3,1,3,7,9,9
2,1,1,4,4,3,4,8,9,10
2,1,1,3,2,3,2,9,11,10
2,2,1,1,1,4,1,7,8,9
1,2,0,3,3,2,3,8,10,10
2,1,0,2,4,4,5,9,9,10
1,2,0,4,4,5,3,8,9,9
1,1,0,4,5,4,4,14,13,13
1,1,0,4,4,4,4,14,14,14
2,4,1,5,4,5,5,10,11,10
1,2,0,5,3,3,1,14,13,14
1,1,0,4,2,5,5,17,16,16
1,1,1,5,3,5,1,6,7,7
1,1,0,4,2,5,5,14,12,13
3,4,1,1,3,5,3,10,8,9
1,4,0,2,2,1,5,14,14,14
1,3,0,5,4,5,1,12,13,13
2,1,0,4,4,5,5,11,11,11
2,2,1,3,3,4,3,11,9,10
1,3,0,4,3,3,3,11,11,10
3,1,1,4,4,5,5,10,9,9
3,2,0,5,3,2,1,16,17,18
2,2,0,5,3,2,1,15,17,17
2,2,0,4,4,5,4,11,9,10
1,2,1,4,3,2,5,7,7,7
1,1,0,3,1,3,1,8,6,8
1,1,0,3,1,3,3,7,6,7
2,2,0,2,3,5,3,9,8,10
1,2,0,4,3,3,2,14,16,16
2,1,0,5,4,5,2,14,14,15
1,2,1,2,3,2,1,8,5,8
2,2,0,5,2,1,2,8,7,0
3,2,0,4,3,2,5,6,8,8
2,2,0,3,3,3,2,8,10,10
1,2,0,4,3,4,3,8,8,8
1,4,0,5,5,5,5,5,6,6
3,2,0,4,2,1,2,7,9,8
1,3,0,4,4,3,5,15,14,16
1,1,0,4,2,3,5,13,14,14
4,3,0,5,1,3,3,10,9,10
1,1,0,5,1,3,5,9,9,9
2,1,0,5,1,3,5,11,11,11
1,1,0,4,1,4,3,7,10,9
3,2,0,5,1,3,1,10,10,10
2,2,0,4,2,2,5,9,7,8
1,2,0,3,2,2,3,14,15,16
1,1,0,4,1,2,5,11,12,12
3,2,0,5,5,5,5,9,11,10
3,4,0,5,4,5,5,13,14,14
1,1,0,4,3,3,5,12,13,12
1,3,0,4,3,3,5,11,11,11
2,2,0,1,2,4,1,9,10,10
2,1,0,4,3,3,1,9,11,11
2,2,0,5,1,3,5,11,9,11
2,3,0,5,3,5,5,10,11,12
3,1,3,3,3,3,5,9,9,8
2,1,0,5,1,2,5,12,11,12
1,2,1,5,4,4,5,8,9,8
1,2,0,5,2,5,5,13,15,16
1,1,0,4,1,2,2,10,11,11
1,2,0,4,5,5,3,11,10,11
2,2,0,4,3,3,5,17,18,18
2,2,0,4,1,2,5,12,13,13
2,2,0,4,1,2,1,13,14,13
1,2,2,4,4,3,4,9,9,10
1,1,0,4,1,2,5,11,11,12
2,1,0,3,5,5,4,10,11,10
1,3,0,4,3,4,3,13,14,13
1,1,0,4,4,4,5,9,10,11
2,2,3,5,4,4,5,7,9,10
2,1,0,5,5,5,5,8,13,10
3,1,1,4,3,2,4,12,12,13
2,1,0,4,5,5,2,10,9,10
2,2,0,4,3,3,5,10,9,10
1,2,0,5,4,3,1,11,13,12
1,1,1,1,2,1,5,7,0,0
2,1,0,4,5,5,5,11,9,10
2,1,0,4,5,5,5,10,10,9
2,1,1,5,3,3,5,9,7,9
1,1,1,2,3,1,5,4,0,0
2,1,3,3,2,1,3,6,11,9
1,2,2,4,4,5,3,4,8,8
2,1,0,5,4,3,4,7,8,8
2,1,3,4,4,3,5,8,9,9
2,2,2,2,5,5,1,5,5,7
1,1,0,4,3,2,5,7,9,10
2,1,1,4,4,3,4,8,11,10
1,1,0,5,4,4,2,10,11,10
2,1,0,2,5,5,5,9,10,11
3,2,1,5,4,4,2,10,9,11
2,2,1,4,5,4,3,8,9,10
1,1,0,4,3,3,3,9,10,9
3,1,1,4,4,4,5,8,9,10
2,2,2,4,3,3,5,6,8,8
1,1,0,1,4,4,5,6,8,7
2,1,1,5,5,5,3,8,6,0
2,1,0,4,4,3,5,10,11,11
2,3,0,4,2,3,3,8,7,8
1,2,0,5,5,5,5,8,8,0
1,2,1,2,3,3,4,7,6,8
1,1,0,3,2,2,5,8,10,9
1,1,0,5,5,1,3,7,10,10
3,2,2,3,4,4,5,7,8,7
2,2,0,4,3,5,1,12,13,14
2,1,0,4,4,3,4,11,12,13
2,2,0,4,4,3,4,12,13,14
2,2,0,4,3,5,1,18,18,18
1,1,0,5,4,5,5,17,17,17
2,2,0,4,3,3,4,17,18,18
3,2,1,4,3,3,4,9,0,0
2,1,0,4,1,4,1,10,11,11
3,1,0,2,5,5,1,12,13,14
3,1,0,4,2,3,4,12,13,14
2,2,0,1,3,1,2,8,8,10
2,3,0,5,4,5,3,11,12,13
1,2,0,5,3,1,5,5,0,0
3,2,1,4,4,2,2,9,10,10
2,1,1,5,5,5,2,5,0,0
2,4,0,4,2,3,5,18,18,18
2,2,0,5,3,3,2,11,11,12
1,2,0,5,2,3,3,8,10,11
2,2,0,4,1,1,4,11,11,12
2,2,3,3,5,4,1,8,0,0
2,3,0,4,2,1,4,14,14,15
2,2,1,4,5,5,2,10,11,11
1,2,0,5,3,4,5,10,10,10
2,2,0,4,3,3,5,12,12,12
2,2,0,1,2,3,5,15,14,15
2,1,0,3,3,2,3,14,13,14
2,3,0,5,3,2,4,19,17,18
3,2,0,4,3,4,5,16,15,15
2,2,0,4,3,2,3,13,12,13
1,2,0,2,3,4,1,15,14,15
2,2,0,3,2,2,3,13,13,13
2,2,0,3,3,4,3,8,10,9
2,3,0,4,2,2,5,15,16,16
3,1,1,5,2,1,1,8,8,9
2,1,0,5,2,3,4,10,10,10
3,2,0,3,2,2,5,7,5,0
3,1,0,4,3,3,3,9,10,10
1,3,0,3,4,3,3,10,11,12
1,1,0,3,5,5,1,7,8,9
2,3,0,5,4,4,1,15,17,17
4,3,0,4,3,2,4,10,11,12
2,2,1,4,3,3,3,7,8,9
1,2,0,5,4,3,2,13,14,14
1,2,0,4,1,3,1,16,16,16
1,2,0,4,5,4,1,8,9,9
1,2,0,3,2,4,2,17,18,19
2,1,0,4,4,3,5,7,7,0
2,2,0,4,4,3,3,14,15,16
2,1,1,4,3,2,5,5,8,0
2,1,1,5,4,3,3,7,7,0
2,3,0,5,3,3,4,14,17,15
2,2,0,5,5,4,1,6,9,11
3,1,0,4,4,3,5,7,9,10
1,3,1,5,4,2,5,10,11,10
1,2,0,4,3,4,1,15,15,16
2,2,0,1,1,1,5,11,12,9
2,1,0,2,4,5,2,10,10,10
3,1,0,4,4,1,5,10,11,11
